time_index,0,1,2,3,4
0,,,10.49039098740888,34.25451157655015,
1,,,11.308510638297872,34.28041123300904,
2,,,12.196741854636592,38.00456842250986,
3,,,10.795162882527148,35.55947863968522,
4,,36.95822646945157,11.219042920572274,,
5,,38.83105006954103,10.873988439306359,,
6,,39.9355619475235,10.587285570131181,,
7,,41.84485025047074,11.526248399487836,,
8,40.5657843311423,,10.57185501066098,,
9,38.79224474026202,,9.940069341258049,,
10,36.15712813954315,,11.538658692866296,,
11,,,11.266469594594595,36.549854206670936,
12,,,10.723981900452488,36.3384442651135,
13,,,9.24642126789366,34.75411789444172,
14,,,11.658944658944659,38.940622891437904,
15,,38.834603381958054,11.624488403819917,,
16,,37.78351429990774,12.251733102253032,,
17,,38.08844752697212,11.679711637487127,,
18,,39.658326022109144,10.87719298245614,,
19,,41.341966306261,12.51716333459072,,
20,37.39271425563277,,11.495991983967937,,
21,37.7493260511851,,12.892579138557343,,
22,35.98419484843175,,12.41381074168798,,
23,35.284696228044915,,12.232815964523281,,
24,,,12.742832691484809,,37.41466273576528
25,,,12.937062937062937,,35.31230693625386
26,,,15.198692810457516,,38.47653839333215
27,,,14.757180156657963,,37.89654428422453
28,,39.928224675464776,15.908243192838492,,
29,,39.789763443915604,15.136130136986301,,
30,,42.52895972676818,15.42527287993283,,
31,43.5305167698287,,16.548852701702444,,
32,40.73457418788411,,14.390074441687345,,
33,42.47998327584405,,16.332588038010062,,
34,38.033486447631404,,14.865043125317097,,
35,,,15.292044310171198,,38.446042660679204
36,,,15.371654501216545,,41.25407335505789
37,,,15.667094291212315,,41.080571013791435
38,,,16.16015132408575,,43.25062275117631
39,,,13.100655151876117,,35.5659990975669
